Id,Region_Id,Region_Text,Company_Text,Date_Result_Id,Date_Result_Text,Create_By_Id,Create_By_Text,Create_Time,Update_By_Id,Update_By_Text,Update_Time,Description
1,3,Miền Nam,Cà Mau,1;,Thứ 2,2,admin     ,2015-03-02 17:58:37.737,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:37.737,
2,3,Miền Nam,Đồng Tháp,1;,Thứ 2,2,admin     ,2015-03-02 17:58:37.890,2,admin,2015-03-02 17:58:37.890,
3,3,Miền Nam,An Giang,4;,Thứ 5,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.203,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.203,
4,3,Miền Nam,Bình Dương,5;,Thứ 6,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.377,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.377,
5,3,Miền Nam,Bạc Liêu,2;,Thứ 3,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.533,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.533,
6,3,Miền Nam,Bình Phước,6;,Thứ 7,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.690,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.690,
7,3,Miền Nam,Bến Tre,2;,Thứ 3,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.843,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:38.843,
8,3,Miền Nam,Bình Thuận,4;,Thứ 5,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.050,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.050,
9,3,Miền Nam,Cần Thơ,3;,Thứ 4,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.203,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.203,
10,3,Miền Nam,Đồng Nai,3;,Thứ 4,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.377,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.377,
11,3,Miền Nam,HCM,1;6;,Thứ 2;Thứ 7,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.533,14,thuylinh.nguyen@vmgmedia.vn,2015-03-02 17:58:39.533,XSHCM;XSTP;XSTPHCM
